filename,filepath,total_rows,total_columns,analyzed_columns,filled_rows,incomplete_rows,empty_rows,empty_cell_percentage,data_dict_file,data_dict_status,total_variables,status
abcd_mte01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_mte01.txt,135,393,382,1,134,0,2.32,NOT FOUND,no match,0,success
ksads2daic_use_only_p01.txt,/home/rif17002/honors_thesis/ABCD_files/ksads2daic_use_only_p01.txt,6252,963,952,1,5906,345,88.17,NOT FOUND,no match,0,success
led_school_part_501.txt,/home/rif17002/honors_thesis/ABCD_files/led_school_part_501.txt,10417,806,795,1,10416,0,53.16,NOT FOUND,no match,0,success
abcd_tfsstr1semdp201.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_tfsstr1semdp201.txt,16948,126,115,16860,0,88,0.52,NOT FOUND,no match,0,success
abcd_sscey01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_sscey01.txt,39767,67,56,1,39766,0,35.63,NOT FOUND,no match,0,success
macv01.txt,/home/rif17002/honors_thesis/ABCD_files/macv01.txt,39767,40,29,31482,8285,0,10.86,NOT FOUND,no match,0,success
abcd_midsemp202.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_midsemp202.txt,17220,691,680,17114,57,49,0.41,NOT FOUND,no match,0,success
abcd_midr1bwp102.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_midr1bwp102.txt,17220,323,312,17114,106,0,0.39,NOT FOUND,no match,0,success
abcd_asrs01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_asrs01.txt,28542,91,80,22062,235,6245,22.15,NOT FOUND,no match,0,success
soc_dev_fu_firearms_p01.txt,/home/rif17002/honors_thesis/ABCD_files/soc_dev_fu_firearms_p01.txt,1627,14,3,60,1553,14,59.02,NOT FOUND,no match,0,success
medsy01.txt,/home/rif17002/honors_thesis/ABCD_files/medsy01.txt,39767,369,358,1,39766,0,95.23,NOT FOUND,no match,0,success
