"subjectkey","subjectkey_numeric","class","prob1","prob2","prob3","prob4","prob5"
"NDAR_INV6JKR3P49",2497,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6JLX8H82",2498,5,0.192582740826365,0.00108701267875755,0.001756866917104,0.00229630449763736,0.802277075080136
"NDAR_INV6K2HE999",2499,4,3.63556869760183e-06,2.15191685612733e-17,0.433464339651454,0.566508256136629,2.3768643219401e-05
"NDAR_INV6K2VKBU3",2500,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
"NDAR_INV6K35WWL0",2501,4,0.000210764890136456,3.15510045104359e-10,0.414133629670868,0.541256569756302,0.0443990353671839
"NDAR_INV6KCEDZAY",2502,1,0.670572959993123,2.67066178795507e-06,0.0826418594140289,0.108015676396791,0.13876683353427
"NDAR_INV6KCMKK84",2503,4,7.54957577624595e-06,5.86224684949e-15,0.433192710399701,0.566155457050006,0.00064428297451033
"NDAR_INV6KDC9UJX",2504,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6KEGPJ6J",2505,4,5.70249472083213e-05,2.3357684853757e-14,0.433161730612809,0.566120173318391,0.000661071121567825
"NDAR_INV6KKX9JVK",2506,4,0.305495531856088,6.31802180700532e-09,0.297348641207016,0.388641652521567,0.0085141680973068
"NDAR_INV6KL1B4H0",2507,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
"NDAR_INV6KM1LGCB",2508,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
"NDAR_INV6KP3MKL1",2509,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6KRBKZYB",2510,4,2.81466702752678e-05,2.88705298217615e-13,0.43138445872219,0.563795400350513,0.00479199425673258
"NDAR_INV6KUUNE55",2511,4,7.63223311169004e-06,6.44519841046098e-15,0.433174233927112,0.566131299318713,0.000686834521056921
"NDAR_INV6KW88EPW",2512,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
"NDAR_INV6KYWMEB4",2513,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6KZ6GTEJ",2514,4,0.0001662990445136,2.80373490195356e-07,0.414433707912614,0.541641784868733,0.0437579278006495
"NDAR_INV6KZZZ5WU",2515,4,0.00190664975132911,5.2057503705594e-14,0.43261124116292,0.565417363070441,6.47460152584371e-05
"NDAR_INV6L03215H",2516,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV6L19M78W",2517,2,0.0240322695709242,0.975677053773714,2.79581310529282e-10,3.65451971111027e-10,0.000290676010328194
